zone,ground_truth,dinov2_pred,dinov2_conf,terrain_correct,consistent,n_readings,expected_trav,label_trav,observed_trav,trav_correct,expected_speed_ms,actual_speed_ms,speed_correct,description,all_labels,e_stop_triggered,e_stop_reason
soil_zone,soil,soil,0.646,True,True,8,SAFE,SAFE,SAFE,True,0.1,0.100,True,"Centre of soil zone Q2 (x<0,y>0) 15x12m — facing +x into open regolith","soil,soil,soil,soil,soil,soil,soil,soil",False,
bedrock_zone,bedrock,bedrock,0.781,True,True,8,HAZARD,HAZARD,HAZARD,True,0.03,0.030,True,"Centre of bedrock zone Q1 (x>0,y>0) 15x12m — facing +x into cracked slab","bedrock,bedrock,bedrock,bedrock,bedrock,bedrock,bedrock,bedrock",False,
sand_zone,sand,sand,0.901,True,True,8,CAUTION,CAUTION,CAUTION,True,0.05,0.050,True,"Centre of sand zone Q3 (x<0,y<0) 15x12m — facing +x into smooth sand","sand,sand,sand,sand,sand,sand,sand,sand",False,
rock_cluster,big_rock,uncertain,0.843,False,True,8,STOP,STOP,STOP,True,0.0,0.000,True,"Inside rock zone Q4 — facing +x; boulder_1(4.5,-3.5) at 2.7m, 12 rocks in FOV","uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain",True,Fail rate 50% >= threshold 50% over last 10s (6/12 msgs)
boulder_zone,big_rock,uncertain,0.980,False,True,8,STOP,STOP,STOP,True,0.0,0.000,True,"Inside rock zone Q4 — facing +x; boulder_2(4.5,-8.0) at 2.5m, 13 rocks in FOV","uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain",True,Fail rate 50% >= threshold 50% over last 10s (6/12 msgs)
