shots,overall,gap_vs_supervised,gap_vs_ensembleB,soil,bedrock,sand,big_rock,ms_per_img
10,60.28,-36.39,-34.15,41.46,72.83,76.39,N/A,180.7
50,73.87,-22.80,-20.56,88.62,46.74,83.33,N/A,180.7
100,78.40,-18.27,-16.03,91.87,55.43,84.72,N/A,180.7
500,88.15,-8.52,-6.28,95.93,79.35,86.11,N/A,180.7
1000,90.24,-6.43,-4.19,95.93,84.78,87.50,N/A,180.7
