surface,group,file,max_similarity
wall,not_terrain,frame_012.png,0.35019
wall,not_terrain,frame_013.png,0.342212
wall,not_terrain,frame_014.png,0.35207
wall,not_terrain,frame_015.png,0.357648
wall,not_terrain,frame_016.png,0.351718
wall,not_terrain,frame_017.png,0.354198
wall,not_terrain,frame_018.png,0.351541
wall,not_terrain,frame_019.png,0.345535
wall,not_terrain,frame_020.png,0.362246
box,not_terrain,frame_000.png,0.163042
box,not_terrain,frame_001.png,0.17172
box,not_terrain,frame_002.png,0.18826
box,not_terrain,frame_003.png,0.191271
box,not_terrain,frame_004.png,0.200177
box,not_terrain,frame_005.png,0.191651
box,not_terrain,frame_006.png,0.189004
box,not_terrain,frame_007.png,0.278907
box,not_terrain,frame_008.png,0.274673
box,not_terrain,frame_009.png,0.306712
box,not_terrain,frame_010.png,0.28431
box,not_terrain,frame_011.png,0.29397
box,not_terrain,frame_012.png,0.298718
box,not_terrain,frame_013.png,0.326122
box,not_terrain,frame_014.png,0.228737
box,not_terrain,frame_015.png,0.205138
box,not_terrain,frame_016.png,0.207685
box,not_terrain,frame_017.png,0.182125
box,not_terrain,frame_018.png,0.197821
box,not_terrain,frame_019.png,0.20431
box,not_terrain,frame_020.png,0.204377
glass,not_terrain,frame_000.png,0.349275
glass,not_terrain,frame_001.png,0.309957
glass,not_terrain,frame_002.png,0.279317
glass,not_terrain,frame_003.png,0.313388
glass,not_terrain,frame_004.png,0.300314
glass,not_terrain,frame_005.png,0.313934
glass,not_terrain,frame_006.png,0.342183
glass,not_terrain,frame_007.png,0.392668
glass,not_terrain,frame_008.png,0.341642
glass,not_terrain,frame_009.png,0.332385
glass,not_terrain,frame_010.png,0.33593
glass,not_terrain,frame_011.png,0.335023
glass,not_terrain,frame_012.png,0.372926
glass,not_terrain,frame_013.png,0.305333
glass,not_terrain,frame_014.png,0.206036
glass,not_terrain,frame_015.png,0.220718
glass,not_terrain,frame_016.png,0.211528
glass,not_terrain,frame_017.png,0.217743
glass,not_terrain,frame_018.png,0.194122
glass,not_terrain,frame_019.png,0.180692
glass,not_terrain,frame_020.png,0.20386
hand2,not_terrain,frame_000.png,0.28055
hand2,not_terrain,frame_001.png,0.227857
hand2,not_terrain,frame_002.png,0.274319
hand2,not_terrain,frame_003.png,0.300451
hand2,not_terrain,frame_004.png,0.268006
hand2,not_terrain,frame_005.png,0.26323
hand2,not_terrain,frame_006.png,0.265722
hand2,not_terrain,frame_007.png,0.246032
hand2,not_terrain,frame_008.png,0.238826
hand2,not_terrain,frame_009.png,0.196712
hand2,not_terrain,frame_010.png,0.296812
hand2,not_terrain,frame_011.png,0.267789
hand2,not_terrain,frame_012.png,0.248012
hand2,not_terrain,frame_013.png,0.246377
hand2,not_terrain,frame_014.png,0.267146
hand2,not_terrain,frame_015.png,0.2732
hand2,not_terrain,frame_016.png,0.21235
hand2,not_terrain,frame_017.png,0.22907
hand2,not_terrain,frame_018.png,0.18223
hand2,not_terrain,frame_019.png,0.267318
hand2,not_terrain,frame_020.png,0.255303
hand2,not_terrain,frame_021.png,0.139165
hand2,not_terrain,frame_022.png,0.158905
hand2,not_terrain,frame_023.png,0.145877
hand2,not_terrain,frame_024.png,0.156549
hand2,not_terrain,frame_025.png,0.183371
hand2,not_terrain,frame_026.png,0.16854
hand2,not_terrain,frame_027.png,0.151377
