shots,overall,gap_vs_supervised,soil,bedrock,sand,big_rock,dinov2_vitb_overall,dinov2_vitb_bedrock,dinov3_vitl_overall,dinov3_vitl_bedrock,delta_vs_dinov2_vitb_overall,avg_ms_extract
10,36.24,-60.43,48.78,17.39,38.89,N/A,63.10,75.00,70.00,N/A,-26.86,575.2
50,51.92,-44.75,58.54,33.70,63.89,N/A,78.00,54.30,83.30,N/A,-26.08,575.2
100,53.31,-43.36,58.54,47.83,51.39,N/A,82.90,60.90,84.00,N/A,-29.59,575.2
500,62.37,-34.30,58.54,60.87,70.83,N/A,89.50,85.90,92.70,N/A,-27.13,575.2
1000,65.16,-31.51,62.60,67.39,66.67,N/A,91.30,87.00,92.30,89.10,-26.14,575.2
