timestamp,images_dir,class,n_images,correct,accuracy_pct,avg_conf,ai4mars_baseline_pct,gap_pp
2026-06-30 20:24:05,/mnt/c/Users/DELL/Desktop/Thesis/Picture,big_rock,10,0,0.0,0.5003,,
2026-06-30 20:24:05,/mnt/c/Users/DELL/Desktop/Thesis/Picture,sand,10,4,40.0,0.5082,,
2026-06-30 20:24:05,/mnt/c/Users/DELL/Desktop/Thesis/Picture,OVERALL,20,4,20.0,,90.24,-70.24
