shots,overall,gap_vs_supervised,soil,bedrock,sand,big_rock,dinov2_vitb_overall,dinov2_vitb_bedrock,dinov3_vitl_overall,dinov3_vitl_bedrock,delta_vs_dinov2_vitb_overall,avg_ms_extract
10,43.55,-53.12,65.85,8.70,50.00,N/A,63.10,75.00,70.00,N/A,-19.55,164.8
50,51.57,-45.10,83.74,19.57,37.50,N/A,78.00,54.30,83.30,N/A,-26.43,164.8
100,56.45,-40.22,84.55,32.61,38.89,N/A,82.90,60.90,84.00,N/A,-26.45,164.8
500,72.82,-23.85,82.11,68.48,62.50,N/A,89.50,85.90,92.70,N/A,-16.68,164.8
1000,75.26,-21.41,79.67,73.91,69.44,N/A,91.30,87.00,92.30,89.10,-16.04,164.8
