shots,overall,gap_vs_supervised,gap_vs_ensembleB,soil,bedrock,sand,big_rock,ms_per_img
10,64.81,-31.86,-29.62,69.92,54.35,69.44,N/A,1316.6
50,75.61,-21.06,-18.82,84.55,60.87,79.17,N/A,1316.6
100,79.44,-17.23,-14.99,86.99,69.57,79.17,N/A,1316.6
500,90.59,-6.08,-3.84,91.87,93.48,84.72,N/A,1316.6
1000,90.94,-5.73,-3.49,91.87,93.48,86.11,N/A,1316.6
