threshold,coverage,risk,safety_rate,safety_fail,n_confident,n_abstained
0.05,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.05452,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.05905,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.06357,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.06809,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.07261,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.07714,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.08166,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.08618,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.0907,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.09523,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.09975,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.10427,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.10879,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.11332,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.11784,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.12236,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.12688,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.13141,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.13593,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.14045,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.14497,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.1495,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.15402,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.15854,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.16307,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.16759,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.17211,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.17663,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.18116,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
0.18568,1.0,0.09756097560975607,0.9477351916376306,0.05226480836236934,287,0
