shots,overall,gap_vs_supervised,soil,bedrock,sand,big_rock,dinov2_vitb_overall,dinov2_vitb_bedrock,dinov3_vitl_overall,dinov3_vitl_bedrock,delta_vs_dinov2_vitb_overall,avg_ms_extract
10,43.21,-53.46,39.84,33.70,61.11,N/A,63.10,75.00,70.00,N/A,-19.89,711.6
50,61.32,-35.35,87.80,20.65,68.06,N/A,78.00,54.30,83.30,N/A,-16.68,711.6
100,62.72,-33.95,88.62,26.09,65.28,N/A,82.90,60.90,84.00,N/A,-20.18,711.6
500,79.09,-17.58,93.50,57.61,81.94,N/A,89.50,85.90,92.70,N/A,-10.41,711.6
1000,81.18,-15.49,94.31,64.13,80.56,N/A,91.30,87.00,92.30,89.10,-10.12,711.6
