t_s,goal_x,goal_y,known_cells_in_box
21.514073133468628,-4.75,4.850000000000001,176
61.53224229812622,-5.449999999999999,5.350000000000001,184
91.85173797607422,-5.85,5.050000000000001,238
115.06089186668396,-6.25,5.550000000000001,276
143.0985243320465,-6.65,5.850000000000001,340
161.70946049690247,-6.85,5.449999999999999,407
179.2584331035614,-6.85,5.150000000000002,435
185.79441499710083,-6.949999999999999,4.75,471
191.99211406707764,-7.25,4.550000000000001,482
198.13979816436768,-7.449999999999999,5.050000000000001,484
237.10811376571655,-7.35,5.650000000000002,488
250.6223328113556,-7.35,4.949999999999999,494
287.7468729019165,-6.549999999999999,4.550000000000001,508
310.45893907546997,-5.85,5.050000000000001,513
326.93990659713745,-6.049999999999999,5.550000000000001,516
357.6118948459625,-5.449999999999999,5.949999999999999,525
383.549857378006,-5.75,6.350000000000001,558
400.47640442848206,-5.35,6.650000000000002,585
426.84566831588745,-5.75,6.25,650
468.5235073566437,-5.549999999999999,6.75,665
504.5456597805023,-5.949999999999999,7.050000000000001,684
524.4746766090393,-5.549999999999999,7.25,738
554.5669596195221,-5.049999999999999,7.550000000000001,762
570.2665948867798,-5.549999999999999,7.050000000000001,781
611.4727506637573,-5.049999999999999,7.450000000000003,794
651.2737517356873,-4.449999999999999,7.25,802
679.3925459384918,-4.449999999999999,6.650000000000002,810
704.1578149795532,-4.75,6.449999999999999,825
712.7351310253143,-4.549999999999999,6.850000000000001,825
754.8449740409851,-4.549999999999999,5.949999999999999,826
784.7116482257843,-4.549999999999999,6.650000000000002,836
827.182562828064,-4.949999999999999,4.949999999999999,839
875.1216931343079,-6.449999999999999,6.449999999999999,841
927.3274629116058,-7.05,6.350000000000001,869
937.1007730960846,-7.449999999999999,6.650000000000002,903
953.0382151603699,-7.05,7.050000000000001,910
1000.8708989620209,-6.85,7.350000000000001,930
1007.8274970054626,-7.25,6.850000000000001,940
1049.9227352142334,-7.1499999999999995,7.550000000000001,947
