t_s,raw_label,confidence
183.839,bedrock,0.982
184.973,bedrock,0.985
185.842,bedrock,0.976
186.564,bedrock,0.961
187.535,bedrock,0.97
190.817,bedrock,0.913
191.816,bedrock,0.856
192.949,bedrock,0.86
194.091,bedrock,0.79
195.033,bedrock,0.593
196.005,bedrock,0.599
196.873,bedrock,0.528
197.772,soil,0.562
198.444,soil,0.698
199.329,soil,0.516
200.133,soil,0.703
201.024,soil,0.523
201.887,bedrock,0.539
202.739,bedrock,0.613
203.493,soil,0.551
204.392,soil,0.535
205.193,bedrock,0.602
205.834,bedrock,0.762
206.473,bedrock,0.808
207.049,bedrock,0.793
207.622,bedrock,0.884
208.188,bedrock,0.858
208.804,bedrock,0.795
209.378,bedrock,0.88
210.097,bedrock,0.755
210.673,bedrock,0.782
211.329,bedrock,0.733
211.988,bedrock,0.881
212.588,bedrock,0.876
213.139,bedrock,0.878
213.7,bedrock,0.901
214.268,bedrock,0.865
214.892,bedrock,0.825
215.479,bedrock,0.858
216.11,bedrock,0.912
216.588,bedrock,0.914
217.141,bedrock,0.904
217.604,bedrock,0.903
218.234,bedrock,0.909
218.668,bedrock,0.728
219.281,bedrock,0.78
219.93,bedrock,0.759
222.696,bedrock,0.782
223.305,bedrock,0.848
223.794,bedrock,0.751
224.396,bedrock,0.879
225.044,bedrock,0.896
225.583,bedrock,0.913
226.199,bedrock,0.955
226.782,bedrock,0.98
227.376,bedrock,0.971
228.035,bedrock,0.966
228.684,bedrock,0.985
229.334,bedrock,0.987
229.955,bedrock,0.987
230.713,bedrock,0.978
231.378,bedrock,0.98
231.99,bedrock,0.979
232.496,bedrock,0.976
233.011,bedrock,0.986
233.501,bedrock,0.984
234.04,bedrock,0.981
234.59,bedrock,0.983
235.159,bedrock,0.979
235.611,bedrock,0.984
236.143,bedrock,0.962
236.741,bedrock,0.944
237.195,bedrock,0.942
237.675,bedrock,0.895
238.231,bedrock,0.78
238.751,bedrock,0.715
239.158,bedrock,0.582
239.669,bedrock,0.571
240.274,bedrock,0.622
240.761,soil,0.677
241.293,soil,0.532
241.844,soil,0.634
242.419,soil,0.599
242.893,soil,0.739
243.419,soil,0.61
243.995,soil,0.557
244.529,bedrock,0.547
245.07,bedrock,0.763
245.528,bedrock,0.573
246.225,soil,0.555
246.788,bedrock,0.527
247.335,bedrock,0.721
247.942,bedrock,0.765
248.581,bedrock,0.618
249.231,soil,0.5
250.242,soil,0.605
250.795,bedrock,0.877
251.317,bedrock,0.864
251.863,bedrock,0.762
255.217,bedrock,0.721
255.709,bedrock,0.817
256.423,bedrock,0.817
257.107,bedrock,0.774
257.791,bedrock,0.842
258.361,bedrock,0.825
258.859,bedrock,0.915
259.48,bedrock,0.883
260.049,bedrock,0.885
260.524,bedrock,0.836
261.087,bedrock,0.826
261.713,bedrock,0.863
262.301,bedrock,0.924
262.811,bedrock,0.91
263.395,bedrock,0.893
264.002,bedrock,0.851
264.584,bedrock,0.721
265.316,bedrock,0.697
266.026,bedrock,0.751
266.633,bedrock,0.751
267.368,bedrock,0.853
268.308,bedrock,0.722
269.739,bedrock,0.84
271.207,bedrock,0.943
272.275,bedrock,0.978
273.132,bedrock,0.958
273.762,bedrock,0.988
274.33,bedrock,0.991
275.078,bedrock,0.989
275.825,bedrock,0.977
276.497,bedrock,0.982
276.996,bedrock,0.983
277.61,bedrock,0.974
278.204,bedrock,0.988
278.697,bedrock,0.989
279.244,bedrock,0.983
279.873,bedrock,0.986
280.46,bedrock,0.98
281.266,bedrock,0.981
281.96,bedrock,0.961
282.556,bedrock,0.946
283.09,bedrock,0.929
283.792,bedrock,0.795
284.392,bedrock,0.75
284.969,bedrock,0.69
288.175,bedrock,0.677
288.729,soil,0.551
289.464,bedrock,0.504
290.16,soil,0.577
290.777,soil,0.69
291.443,soil,0.767
292.173,soil,0.59
293.082,soil,0.672
293.745,bedrock,0.682
294.379,bedrock,0.546
295.081,bedrock,0.538
295.606,bedrock,0.68
296.404,bedrock,0.716
296.974,bedrock,0.831
297.626,bedrock,0.744
298.213,bedrock,0.536
298.762,soil,0.537
299.396,bedrock,0.815
299.99,bedrock,0.903
