run,t_s,distance_to_boundary_m,label,confidence,band
reobservation_official,823.74,0.541,sand,0.676,0.3-0.6m
reobservation_official,831.12,0.537,soil,0.766,0.3-0.6m
reobservation_official,833.67,0.537,soil,0.509,0.3-0.6m
reobservation_official,836.19,0.556,bedrock,0.775,0.3-0.6m
reobservation_official,838.83,0.577,bedrock,0.722,0.3-0.6m
reobservation_official,841.36,0.613,bedrock,0.915,0.6-1.0m
reobservation_official,843.97,0.8,bedrock,0.887,0.6-1.0m
reobservation_official,846.76,0.998,bedrock,0.621,0.6-1.0m
reobservation_official,849.91,1.203,bedrock,0.692,1.0-2.0m
reobservation_official,853.46,1.316,bedrock,0.458,1.0-2.0m
reobservation_official,856.94,1.433,sand,0.429,1.0-2.0m
reobservation_official,864.37,1.461,sand,0.41,1.0-2.0m
reobservation_official,867.87,1.45,soil,0.612,1.0-2.0m
reobservation_official,870.45,1.375,soil,0.716,1.0-2.0m
reobservation_official,873.7,1.237,soil,0.779,1.0-2.0m
reobservation_official,877.05,1.177,soil,0.596,1.0-2.0m
reobservation_official,879.93,1.166,soil,0.528,1.0-2.0m
reobservation_official,882.66,1.134,bedrock,0.457,1.0-2.0m
reobservation_official,885.21,1.133,bedrock,0.407,1.0-2.0m
reobservation_official,888.58,1.178,bedrock,0.462,1.0-2.0m
reobservation_official,894.6,1.235,bedrock,0.606,1.0-2.0m
reobservation_official,898.88,1.206,soil,0.819,1.0-2.0m
reobservation_official,901.78,1.11,soil,0.746,1.0-2.0m
reobservation_official,904.47,0.944,soil,0.682,0.6-1.0m
reobservation_official,907.22,0.787,sand,0.458,0.6-1.0m
reobservation_official,910.66,0.72,bedrock,0.745,0.6-1.0m
reobservation_official,913.61,0.721,soil,0.473,0.6-1.0m
reobservation_official,916.55,0.8,soil,0.73,0.6-1.0m
reobservation_official,919.5,0.854,soil,0.718,0.6-1.0m
reobservation_official,927.78,0.885,soil,0.653,0.6-1.0m
reobservation_official,931.15,0.875,sand,0.513,0.6-1.0m
reobservation_official,935.57,0.859,sand,0.483,0.6-1.0m
reobservation_official,939.9,0.831,soil,0.538,0.6-1.0m
reobservation_official,943.3,0.771,sand,0.574,0.6-1.0m
reobservation_official,945.75,0.751,sand,0.561,0.6-1.0m
reobservation_official,948.49,0.704,sand,0.423,0.6-1.0m
reobservation_official,951.56,0.668,sand,0.509,0.6-1.0m
reobservation_official,954.51,0.568,sand,0.851,0.3-0.6m
reobservation_official,962.06,0.296,soil,0.535,0.0-0.3m
reobservation_official,964.7,0.217,sand,0.522,0.0-0.3m
reobservation_official,967.26,0.181,sand,0.814,0.0-0.3m
reobservation_official,970.13,0.018,sand,0.761,0.0-0.3m
reobservation_official,972.55,0.17,sand,0.778,0.0-0.3m
reobservation_official,975.46,0.329,sand,0.671,0.3-0.6m
reobservation_official,979.02,0.381,soil,0.507,0.3-0.6m
