variant,feat_dim,shots,overall,soil,bedrock,sand
Franca_CLS,1024,10,38.3275,29.2683,26.087,69.4444
Franca_CLS,1024,100,68.2927,78.0488,47.8261,77.7778
Franca_CLS,1024,1000,84.669,88.6179,80.4348,83.3333
Franca_RASA,1024,10,60.2787,60.1626,42.3913,83.3333
Franca_RASA,1024,100,76.6551,86.1789,58.6957,83.3333
Franca_RASA,1024,1000,89.547,91.0569,89.1304,87.5
Franca_CLS+RASA,2048,10,52.9617,45.5285,42.3913,79.1667
Franca_CLS+RASA,2048,100,75.6098,84.5528,57.6087,83.3333
Franca_CLS+RASA,2048,1000,89.547,93.4959,88.0435,84.7222
