zone,ground_truth,dinov2_pred,dinov2_conf,terrain_correct,consistent,n_readings,expected_trav,pred_trav,trav_correct,expected_speed_ms,actual_speed_ms,speed_correct,description,all_labels
soil_zone,soil,sand,0.461,False,True,8,SAFE,CAUTION,False,0.1,0.050,False,"Centre of soil zone Q2 (x<0,y>0) 15x12m — facing +x into open regolith","sand,sand,sand,sand,sand,sand,sand,sand"
bedrock_zone,bedrock,bedrock,0.639,True,True,8,HAZARD,HAZARD,True,0.03,0.030,True,"Centre of bedrock zone Q1 (x>0,y>0) 15x12m — facing +x into cracked slab","bedrock,bedrock,bedrock,bedrock,bedrock,bedrock,bedrock,bedrock"
sand_zone,sand,sand,0.677,True,True,8,CAUTION,CAUTION,True,0.05,0.050,True,"Centre of sand zone Q3 (x<0,y<0) 15x12m — facing +x into smooth sand","sand,sand,sand,sand,sand,sand,sand,sand"
rock_cluster,big_rock,sand,0.676,False,True,8,STOP,CAUTION,False,0.0,0.050,False,Inside rock zone Q4 — facing +x; close foreground boulder and denser rock field,"sand,sand,sand,sand,sand,sand,sand,sand"
boulder_zone,big_rock,sand,0.597,False,True,8,STOP,CAUTION,False,0.0,0.050,False,Inside rock zone Q4 — facing +x; close head-on boulder with larger foreground rocks,"sand,sand,sand,sand,sand,sand,sand,sand"
