source,dinov2_score,lidar_risk,imu_risk,max_combine,weighted_sum,diluted_a_stop_signal
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.0,0.0,0.0,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,0.5,0.5,0.1667,False
imu_log,0.0,0.0,1.0,1.0,0.3333,True
imu_log,0.0,0.0,1.0,1.0,0.3333,True
imu_log,0.0,0.0,1.0,1.0,0.3333,True
imu_log,0.0,0.0,1.0,1.0,0.3333,True
imu_log,0.0,0.0,1.0,1.0,0.3333,True
imu_log,0.0,0.0,1.0,1.0,0.3333,True
imu_log,0.0,0.0,1.0,1.0,0.3333,True
