shots,overall,gap_vs_supervised,gap_vs_ensembleB,soil,bedrock,sand,big_rock,ms_per_img
10,50.87,-45.80,-43.56,44.72,50.00,62.50,N/A,170.3
50,72.82,-23.85,-21.61,90.24,51.09,70.83,N/A,170.3
100,76.31,-20.36,-18.12,96.75,52.17,72.22,N/A,170.3
500,86.41,-10.26,-8.02,99.19,76.09,77.78,N/A,170.3
1000,87.80,-8.87,-6.63,97.56,80.43,80.56,N/A,170.3
