model,ms_per_img,accuracy,deployed
CLIP ViT-B/32,295,87.80,0
DINOv2+reg ViT-S/14,180.7,90.24,1
DINOv2 ViT-B/14,546.9,91.29,0
DINOv2 ViT-L/14,1660.4,93.73,0
DINOv3 ViT-S/16,187.4,90.24,0
DINOv3 ViT-B/16,513.3,90.59,0
DINOv3 ViT-L/16,1277.1,92.33,0
